True Cost 	Penalty 	Adjusted Cost
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
2.670173E+00	0.000000E+00	2.670173E+00
