EVAL  Pn
0001  1.000000E+00
0002  7.645911E-01
0003  6.268857E-01
0004  5.291822E-01
0005  4.533974E-01
0006  3.914768E-01
0007  3.391236E-01
0008  2.937733E-01
0009  2.537714E-01
0010  2.179885E-01
0011  1.856190E-01
0012  1.560679E-01
0013  1.288835E-01
0014  1.037147E-01
0015  8.028313E-02
0016  5.836435E-02
0017  3.777481E-02
0018  1.836249E-02
0019  0.000000E+00
